租赁方式,户型,面积,装修,朝向,高低,楼层,小区名,区域,次级区域,详细地址,详情,亮点,描述,URL,价格,周期,押金
整租,2室1厅1卫,110,精装修,南北,中层,18层,蓝旗营,海淀,清华大学,"
                                成府路101号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,"房源描述
地理位置：蓝旗营紧邻北大东门，清华大学西南门及五道口；紧邻北大幼儿园和北大附小，清华幼儿园和清华附小，*上学家长陪读*，让*时间用在学习和休息


房源优势：居住非常舒适，利用率超高，业主按自己住装修的，家具家电俱全！租价合理，非常超*，业主诚意出租，看房随时，可长租


交通情况：蓝旗营站，清华园站：307路, 319路, 331路, 355路, 375路,508路, 562路, 628路, 656路, 731路, 运通110线；往西*地铁4号线北大东门站，往东地铁13号线五道口站


周边配套：超市发，易初莲花，五道口华联商场等还有各大：北京，工商，光大，建设，中信等
",https://bj.58.com/zufang/37372555656470x.shtml,9000,元/月,面议
整租,3室2厅2卫,118,精装修,西北,低层,22层,西钓鱼台嘉园,海淀,航天桥,"
                                西八里庄路                            ", 床 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 , 配套齐全 精装修 , ,https://bj.58.com/zufang/37399271919397x.shtml,17500,元/月,半年付押一
整租,1室1厅1卫,40,精装修,南北,共1层, ,朱房小区,海淀,上地,"
                                朱房路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 精装修 南北通透 随时看房 ,"出租要求

租户稳定
",https://short.58.com/zd_p/5acb68f4-3104-4c4b-8e5a-b638fc1cfe5d/?target=dc-16-xgk_hvimob_80348532499176q-feykn&end=end,4500,元/月,押一付三
整租,3室1厅1卫,78, ,南,中层,6层,金沟河3号院,海淀,金沟河,"
                                北京市海淀区金沟河路东口                            ", 床 衣柜 冰箱 洗衣机 空调 热水器 暖气 可做饭 独立卫生间 , 已传房本 邻地铁 配套齐全 南北通透 有阳台 随时看房 ,"出租要求

半年起租
租户稳定
",https://bj.58.com/zufang/37314693163922x.shtml,6900,元/月,押一付三
整租,2室1厅1卫,35,精装修,东,中层,6层,西山国际城,海淀,田村,"
                                阜石路甲69号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述               欢迎您浏览我的店铺！西山国际城小区简介：    此小区为海淀区成交量不错的小区 总栋数为18栋 配有天然气 小区绿化环境特别好 楼层共6层 格局为复式格局总高5.4米水费5元/吨 电费1.5/字 燃气费2.28/利 小区大部分为精装修和欧式装修 出租价格也为低于其他小区 租房自住周边设施： 往西万达时代广场 东、南分别为 锦绣大地物流港和锦绣大地商务在线 一应俱全交通简介：小区南面紧挨着 小区西面（正门）为巨山路 北面为田村路和田村辅路 门口公交有355 914 专110 快4 快4支， 延巨山路向南直走（开车3）为八宝山地铁口 小区门口年底开通地铁六号线 交通特别方便                        ,https://bj.58.com/zufang/37398968064413x.shtml,5600,元/月,押二付三
整租,2室2厅1卫,113.41,简单装修,西南,高层,19层,远大园六区,海淀,世纪城,"
                                板井路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 普通装修 ,房源描述           			户型优势		 			业主诚意出租，寻爱惜房子居家客户。小区距离车道沟步行10分左右，环境优雅，物业管理完善，住户素质高。房型方正、阳光充足，小区治安和物业管理也比较到位。室内环境宽敞明亮，居室采光充足，视野宽广，适合长期自住小区内部绿化多。3、本人扎根世纪城多年，主要服务于世纪城远大园一区、二区、三区、四区、五区、六区、鲁艺上河村、金源商务办公楼、世纪酒店公寓、三期观山园、晴雪园、晴波园、春荫园。翠叠园、时雨园、垂虹园等十多个园区，帮助过很多客户买到自己心仪的房子，并熟悉二手房的买卖流程及环节		          ,https://bj.58.com/zufang/37301567425949x.shtml,11000,元/月,半年付
整租,2室1厅1卫,81,精装修,南北,中层,6层,东升园公寓,海淀,五道口,"
                                财经东路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述

房源亮点房子中间楼层，南北通透，精装修，看房提前联系


户型介绍此房为南北向二室一厅一卫，81平米，精装，南北通透，中间楼层，婚房出租


交通出行距离地铁五道口站直线距离392米，出小区门是公交车站，多路公交通往各处


周边配套院里有公立，监控设施各个角落都有，相当安全，板楼塔楼户型都不一样，格局上开阔，老人孩子年轻人都适宜，可以散步遛弯也能娱乐健身。


小区信息：建设、中国、光大、中信实业、工商其他：文津国际酒店小区内部配套：社区内有社区站

",https://bj.58.com/zufang/37344676273032x.shtml,9500,元/月,押一付三
整租,3室1厅1卫,97, ,南,中层,12层,永定路西里小区,海淀,五棵松,"
                                永定路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 南北通透 有阳台 随时看房 ,"出租要求

作息正常
租户稳定
禁烟
",https://bj.58.com/zufang/37359836374025x.shtml,9000,元/月,年付
整租,3室1厅1卫,90, ,南,低层,24层,住总旗胜家园(北区),海淀,西三旗,"
                                建材城西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 已传房本 邻地铁 配套齐全 有阳台 随时看房 ,"出租要求

作息正常
禁烟
",https://bj.58.com/zufang/37259999745550x.shtml,7100,元/月,押一付三
整租,1室1厅1卫,45,精装修,南,共4层, ,铁西住宅小区,海淀,军博,"
                                北蜂窝西路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述1、《经典户型》电梯楼中低层，双卧朝南，朝北大客厅，精装木地板，家具家电齐全，整体橱柜，宽敞卫生间，干净舒适好房，非常适合一家人居住
2、《价格合适》军博地铁好位置，铁道部高档新小区，抢手房/
3、《交通便利》紧邻北蜂窝路、复兴路，出门五分即到军博地铁站，十分可到西三环，人车出入，畅通无阻
4、《附近教育》蓝天幼儿园、新华社幼儿园、四小、五小、玉渊潭中学、五十七中等
5、《配套设施》农贸市场等购物场所，建行、工行、农行、兴业、光大等银行，世纪坛医院、军事博物馆、玉渊潭公园等等
6、《相邻小区》铁东小区，复兴路乙6号院，铁道部五号院，乔建里小区，北蜂窝中路2号院，北蜂窝15号院，铁西小区，电信小区，北蜂窝中路甲八号院，茂林居小区。
 
",https://bj.58.com/zufang/37359085885350x.shtml,5500,元/月,押一付三
整租,5室3厅3卫,400,豪华装修,南北,地下,3层),永泰自在香山(别墅),海淀,香山,"
                                瀚河园路                            ", 床 冰箱 洗衣机 空调 热水器 , , ,https://bj.58.com/zufang/37392864426788x.shtml,43000,元/月,半年付押一
整租,1室1厅1卫,45,精装修,南,高层,6层,双榆树北里,海淀,双榆树,"
                                中关村南大街                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,房源描述 房源亮点采光好，通透性好，周边配套设施齐全 户型介绍此房为南向一室一厅一卫，45平米，精装，此房为南向一室一厅一卫，建筑面积为45平米。 交通出行地铁人民大学站直线545米，地铁人民站直线545米。 周边配套双安商场，当代商城，海淀医院，工商银行 小区信息周边配套设施齐全,https://bj.58.com/zufang/37321721804322x.shtml,7000,元/月,押一付三
整租,2室1厅1卫,90,精装修,南北,中层,17层,常青园(一区),海淀,四季青,"
                                东冉北街                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述* 地理位置优越.第二 公交地铁十分方便出行方便，上下班方便.第三 购物方便，节省您的宝贵时间.第四 小区绿化率高环境优美宁静和谐，好环境总会给人带来好心情.第五 房干净整洁，温馨舒适，窗明几净，就等着您的拎包入住.第六 家电家具全新，全封闭式小区管理房子干净，家电家具齐全，能洗澡做饭，交通购物便利，有意者与我联系.,https://bj.58.com/zufang/37409909967128x.shtml,7000,元/月,押一付三
整租,2室2厅1卫,106,精装修,南北,高层,10层,八里庄路62号院,海淀,定慧寺,"
                                八里庄路62号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述麦田房产曹帅定慧福里南区新出南北向两居室，正对小区花园，安静、阳光满屋！居室：2室1厅1卫1厨1阳台面积：105平朝向：南北向温馨正对小区花园，客厅是落地窗，视野开阔，采光无遮挡。楼层：9/10报价：10500看房：随时（交通便利，周边配套齐全成熟）1.从小区北门出来离海淀五路居地铁站步行5.2.出门家乐福            ,https://bj.58.com/zufang/37365927435921x.shtml,10500,元/月,押一付三
整租,3室1厅1卫,85,精装修,南北,中层,6层,科育社区,海淀,中关村,"
                                中关村南路49号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,"房源描述
	    科育小区是北京以家庭的需要为核心从项目硬件到生活软件，配合全新物业形态统一规划的全功能亲人社区，住宅主体以全然不同的功能设计规划。社区整体功能分区：针对不同成员的生活习惯和需要，提供相应的设施。物业形态上注重因爱而居的社区核心思想：营造人文环境，鼓励邻里交流，促进睦邻关系。




周围商店：商场：家乐福、超市发购物、新中关、当代商城

	周边：：建设、交通


	餐饮：配套齐全
公交：66路、384路 
地铁：4号线、10号线



",https://bj.58.com/zufang/37337193893027x.shtml,9500,元/月,押一付三
整租,2室2厅1卫,90, ,南北,共3层, ,秀山公寓,海淀,温泉,"
                                北京市海淀区                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 独立卫生间 , 已传房本 配套齐全 南北通透 随时看房 ,"出租要求

一年起租
租户稳定
作息正常
",https://bj.58.com/zufang/37382955393680x.shtml,2680,元/月,年付
整租,3室1厅2卫,122,精装修,南,共5层, ,圆明园花园,海淀,马连洼,"
                                圆明园西路88号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述 一。房子精装修，采光通风隔音好。绿色装修环保健康，家具家电齐全，全天候热水，洗澡做饭均可，随时能看、随时能住。  二、【社区环境】肖家河住宅小区，位于圆明园西路与农大南路交汇口，物业管理完善，停车位免费，小区绿化率高，空气清新，环境优美，安静和谐的舒适环境能给您带来每天好心情。三、【服务优势】检查水电隐患，专业师傅免费维修。更有全天候人工服务，随叫随到！四、【周边环境】1，交通便利——门口有333内环，362，437等多路公交站点，地铁16号线农大南路站，直达上地、软件园、中关村、苏州街等商圈。2，生活方便——单元楼下有小超市，周边有百旺商城，华联超市，菜市场，悦动健身房，农大跑步场篮球场等，涵盖了餐饮、娱乐、购物等多方面满足生活需求。3，人文景观——附近有中国农业大学，农大附中，农大附小等多所院校；紧邻百望山森林公园，颐和园等景点。文化气息浓厚，人文素养高。,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs336gaH8t06x6_Zpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0Svp3DGcYwlOMBgPGWIFOAqyBP1ZKMCGY1TQEzLrstvNqehnYWWh0kieEvZYetOdm772LkDJkdp34ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjONKtPlfWKy6pMz74c_Jwz0gnTnuV4ut2oMzJts5psgUmMYZH-DENLw&pubid=60829408&apptype=0&psid=114156129203461694813416312&entinfo=37182051492613_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,11500,元/月,押一付三
整租,2室2厅1卫,70,精装修,南北,低层,6层,竹园小区,海淀,马连洼,"
                                马连洼北路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 邻地铁 配套齐全 精装修 ,房源描述1、地理位置非常好，交通便利 2、交通便利，附近公交很方便，地铁也有，上班的话，节约了您的步行时间。3、购物方便，附近大中型超市很多，您可以买日常所必须，买菜也很方便，周围配套应有尽有。 4、小区环境好，管理成熟。区内有物业部门实行专业管理，管理有序规范。免、无物业费。房源价值：房子价格在周边以及同等房间，房子价格*便宜合适，超值。5、家具家电齐全，可根据您的需求配置家具家电！！！！ 6、南北通透采光好，有整体厨房，油烟机、整体橱柜、热水淋浴器、坐便、卧室双人大床电脑桌、大衣柜、空调、整片暖气，所有设施均为全新的，100兆光纤入户，停车，晾衣，设施齐全，精装拎包入住，7、周边有大型超市，农贸市场，菜市场，商圈成熟。 8、24小时保安、*走廊*，管理体系完善，居住环境十分安全。 ,https://jxjump.58.com/service?target=FCADV8oV3os7xtAj_6pMK7rUlr2F-i3f_Rs33Y7jo58NYvJTZpk1zEffDjpdRkNz3Q5xoKYl4Bi0ja0SJZKomGJB6BU-gRQo0LVe5yBP1ZKMCGY1Rn5NQ5lchmVJ-I65hPfP8eEvZYetOdm772LkDJkdp34ukfCbRGVaWhwAwIAsnVFVGVkJ-frjEcIsiu1SCX0XjzU8UwjvaF23k7Lb9GLou2kgnTnuV4ut2oMzJts5psgUmMYZH-DENLw&pubid=63407548&apptype=0&psid=139980480203461679741247026&entinfo=37369115813029_0&cookie=|||&fzbref=1&key=&params=rank0830gspanxuan0099^desc,6500,元/月,押一付三
整租,1室1厅1卫,50,精装修,南,高层,6层,永泰东里,海淀,清河,"
                                永泰中路                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述一、 房源优势：1、永泰东里正房型楼层3800元/月出租2、挑高客厅 宽敞大气二、 户型介绍： 户型：1室1厅1厨1卫1阳台 ，朝向：南 ，格局方正，使用率超赞1、客厅挑高、宽敞舒适、阳光非常充足三、 社区介绍：1、本楼建成于房屋年代：2008年 社区环境好2、小区是集中供暖的3、小区的非常小，属于低密度社区 ，非常适宜居住4、小区的绿化率高，让您感受花园一样的家四、交通介绍：地理位置得天独厚 私家车和公共交通都能方便出行，公交：345路丶344路丶355路丶392路丶398路丶407路丶419路丶603路丶618路丶379路丶734路丶748路丶752路丶753路丶811路丶819路丶820路外环丶845路丶914路丶运通109路丶小35路丶小36路丶33路专线丶：8。 ,https://bj.58.com/zufang/36584582992388x.shtml,3800,元/月,押一付三
整租,2室1厅1卫,60,精装修,南北,共5层, ,中关村南大街31号院,海淀,白石桥,"
                                中关村南大街31号                            ", 床 衣柜 沙发 电视 冰箱 洗衣机 空调 热水器 宽带 暖气 可做饭 阳台 独立卫生间 , 配套齐全 精装修 ,房源描述  1.【户型介绍】：此房户型为南北向的两居，一进门左手边是卫生间，客厅和厨房朝北。主卧朝南，次卧朝北，中间楼层，通风好，视野好。 2.【交通配套】：交通便利，有多路公交、地铁经过。有医院、银行、大学、中学等等。  3.【付款方式】：房屋月租金9000/月，押一付三，业主长期出租，看房提前联系即可。  4.【房屋情况】：小区管理严格，物业的服务好，安全、安静，适合白领、人士、情侣居住，房屋目前已经空置，室内家具家电齐全，看房随时联系即可。   自我介绍  我是来自人济山庄店的张雪花，从事房地产经纪行业3年，主要服务海淀区【魏公村小区、白石桥、国家气象局、航天五院、韦伯豪家园、舞蹈学院、万寿寺甲2号院、天作国际、农科院、理工大学家属院、紫竹桥人济山庄、大慧寺】周边小区房源出租和委托服务。客户满意，是我的职业追求，我相信，拥有专业的知识及真诚的服务才能为客户找到满意房源。   ,https://bj.58.com/zufang/37367237369612x.shtml,9000,元/月,押一付三
